国家,中华人民共和国,,,,,,,,,,,
省/直辖市,河北省,,,,,,,,,,,
市,全省,,,,,,,,,,,
县/区,全市,,,,,,,,,,,
开始时间,2022年01月01日 00时,,,,,,,,,,,
结束时间,2022年12月31日 23时,,,,,,,,,,,
时区,GMT+08:00,,,,,,,,,,,
数据源,美国国家航空航天局,,,,,,,,,,,
,,,,,,,,,,,,
日期,时间,气温℃,湿度%,气压hPa,降水量mm/h,经向风m/s,纬向风m/s,地面风速m/s,风向°,地表水平辐射W/m^2,法向直接辐射W/m^2,散射辐射W/m^2
2022-05-21,17:00:00,29.758756724949876,21.805375704405478,944.0855692808254,1.0239931664786763e-07,1.526547274555807,1.8794366087925702,2.4212865480821306,219.084768529692,280.67193845399794,345.73725569809426,149.81024203628954
2022-05-21,18:00:00,26.348941246737468,34.5428953317036,944.2998735296176,4.490120727824163e-08,1.0055630907589532,1.6632449480129854,1.9435896909037713,211.156279832465,109.00301661765393,146.24884543432216,81.74624411788433
2022-05-21,19:00:00,22.763756364089602,42.80109840266084,944.7287712206218,6.205474000547245e-08,1.1731741897600019,1.6802244258002308,2.0492661614770182,214.92369653666043,7.325786930147086,2.3719749049124497,7.171608561327777
2022-05-21,20:00:00,21.242764008290578,46.330670158990635,945.3185784882194,7.193467354485459e-08,1.502643146470416,1.694502208099665,2.2647900915734227,221.56582786123994,0.0,0.0,0.0
2022-05-21,21:00:00,20.073967176778467,50.21282324995676,945.7248606856531,8.757371191035472e-08,1.8807193587262814,1.4869774323417086,2.3975419059072434,231.66859053059792,0.0,0.0,0.0
2022-05-21,22:00:00,18.969193417860197,54.05452285191532,945.7665957550003,3.9261559651810117e-08,2.192764214960928,1.1054315959937948,2.455645315560577,243.24609455394727,0.0,0.0,0.0
2022-05-21,23:00:00,18.046266092050132,57.153217803555236,945.6156120976868,1.5275682068349794e-08,2.315099620523614,0.7036393569709425,2.4196682825600417,253.09414752434515,0.0,0.0,0.0
2022-05-22,00:00:00,17.245833938755993,59.61856561949253,945.2974990627769,0.0006315199544907544,2.2561638370719352,0.27053891259368146,2.27232624482897,263.16225230682176,0.0,0.0,0.0
2022-05-22,01:00:00,16.526087448589465,61.63201286505585,945.0095473541872,0.031609835115897864,2.0561235187949007,-0.1462321355940651,2.061316996975944,274.0680437928054,0.0,0.0,0.0
2022-05-22,02:00:00,15.807131735924486,63.567071534436245,944.8583634265742,0.031609837174876136,1.7737443058185989,-0.43554874270488736,1.8264368507275885,283.7962027092638,0.0,0.0,0.0
2022-05-22,03:00:00,15.264195230025734,64.55175730492284,944.8291283061724,0.0309783330328727,1.4288889355468866,-0.6406147568261225,1.5659217275431445,294.1481574878901,0.0,0.0,0.0
2022-05-22,04:00:00,14.775748176825743,65.2326853022177,944.9319796954501,7.858464596497731e-09,1.0699377944706447,-0.74285436870483,1.3025357949555778,304.77212318921136,0.10930664730677582,0.0005282774121454589,0.10927230927498637
2022-05-22,05:00:00,15.105706480836602,64.05383135789461,945.2521405586283,2.7902036305330783e-08,0.8205879769740425,-0.6286411149853242,1.0337089916433653,307.4552268082359,45.49691507357016,286.44494089678443,26.87799391527917
2022-05-22,06:00:00,17.826296035659084,56.397035722243395,945.6404537179664,1.4077633962254989e-08,0.6656995389562006,-0.3559136098024775,0.7548710974789856,298.13101066178996,203.40127123156188,519.4302644517365,78.73607239403395
2022-05-22,07:00:00,20.96414897886467,44.400368203633924,945.9647385330602,1.5254984637688678e-07,0.2567914567986202,0.0005836698862159226,0.2567921201191612,269.86977073171823,398.0812976999019,666.9124910471644,111.22654376359324
2022-05-22,08:00:00,24.829883103957684,34.16990285005518,946.1264244364991,1.7708536260016619e-06,0.1394765927858314,1.1839126595992617,1.192100207824217,186.71903749885627,588.0699084366101,761.0271389403587,127.24454303113134
2022-05-22,09:00:00,27.99131152086187,27.264663993529854,946.1209917969296,2.2125635086624426e-05,0.5418210561955304,2.426197869640137,2.4859618178047667,192.58878919539282,747.1700231643558,802.8011869485853,141.63972847675066
2022-05-22,10:00:00,29.991042839961608,23.76190831369501,945.9099722662265,0.00027528013417203013,0.7370734587071776,3.144436746415587,3.2296686727494515,193.19227052464652,855.3675372263456,796.0590993238364,165.8131085857238
2022-05-22,11:00:00,31.18723299490972,21.941685915825797,945.5707402711163,0.0010625860659671288,0.7277858368362058,3.5064707676276767,3.581202237870239,191.72554677118816,900.9473010899499,747.782218657983,202.73012610702466
2022-05-22,12:00:00,31.81328591474636,21.14806978824926,945.0837110231992,0.005705908012519539,0.6844578620229135,3.76197070824259,3.8237293542509296,190.31167504679036,884.8428386693041,674.4531272403514,242.63340605620306
2022-05-22,13:00:00,31.962850244587287,21.15331295564142,944.5427981790893,0.009059756406505418,0.6966592432392087,4.005686761491327,4.065816096723695,189.86605778401739,809.767855736241,578.5095824907477,277.3205441834386
2022-05-22,14:00:00,31.67370203667491,21.87150851935382,944.1255390781806,0.013400381734669498,0.7920063334673118,4.227345195582772,4.300897747548653,190.61152555368523,687.2550894482564,467.5971596089215,294.2677362143664
2022-05-22,15:00:00,30.954895240902147,23.38791426630573,943.8908889978059,0.013009856459107403,0.9666833268454252,4.408949573219855,4.513680648162482,192.36668610085488,534.1010570560845,349.7873655488623,283.0141130100134
2022-05-22,16:00:00,29.796376606623767,26.07884150786498,943.969259320444,0.012105594501993609,1.1522787781867432,4.470738501571137,4.616844066252408,194.4527477596031,365.5245235115296,223.2643424557484,240.2965222240945
2022-05-22,17:00:00,28.141402246517714,31.134646728967258,944.1915884906117,0.009728275163958347,1.136844951786208,4.245200129015874,4.394785612495583,194.99177684955234,206.8488247699609,105.3718737710675,166.77173774635625
2022-05-22,18:00:00,25.403002185516073,41.80568717656032,944.6291461061128,0.007269198239369828,0.8661101694261721,3.4340166374905374,3.541555744605081,194.15562064100797,75.42332158705013,29.91936170052458,69.78461339118701
