国家,中华人民共和国,,,,,,,,,,,
省/直辖市,山西省,,,,,,,,,,,
市,全省,,,,,,,,,,,
县/区,全市,,,,,,,,,,,
开始时间,2022年01月01日 00时,,,,,,,,,,,
结束时间,2022年12月31日 23时,,,,,,,,,,,
时区,GMT+08:00,,,,,,,,,,,
数据源,美国国家航空航天局,,,,,,,,,,,
,,,,,,,,,,,,
日期,时间,气温℃,湿度%,气压hPa,降水量mm/h,经向风m/s,纬向风m/s,地面风速m/s,风向°,地表水平辐射W/m^2,法向直接辐射W/m^2,散射辐射W/m^2
2022-10-30,23:00:00,4.955953127536986,90.84528632106536,894.9890523724845,2.282818122237275e-05,2.008291676575019,-1.8668878956577886,2.7419894006275927,312.9102266800049,0.0,0.0,0.0
2022-10-31,00:00:00,4.067211340843187,91.83507026112223,895.0932548335493,6.715937568037056e-05,1.8947241380975395,-2.2071643378559003,2.9088750357814166,319.3557996120413,0.0,0.0,0.0
2022-10-31,01:00:00,3.2045820121051065,92.00502001081581,895.1914472963822,0.00026277613740501504,1.7570417787484036,-2.515675022310672,3.068520267188267,325.06810749625845,0.0,0.0,0.0
2022-10-31,02:00:00,2.440093723713119,91.24280238246007,895.1843740065993,0.00036711526222053993,1.5640530130592056,-2.739325048218024,3.1543879830252743,330.27523548976023,0.0,0.0,0.0
2022-10-31,03:00:00,1.788796441282102,89.23461712821684,895.0004912490102,0.0004554963955961431,1.3411752241158705,-2.868873625218324,3.1668891454005115,334.9442913330752,0.0,0.0,0.0
2022-10-31,04:00:00,1.1951018763088541,86.21257137980149,894.8568985391198,0.0004995323335012723,1.178894317287782,-2.9149312981473323,3.144299013174847,337.97996854493294,0.0,0.0,0.0
2022-10-31,05:00:00,0.7296322128938755,82.65970170046899,894.9901019585536,0.0004983529336284378,1.1869239033697152,-2.815430584945985,3.055394856813059,337.14077682350245,0.0,0.0,0.0
2022-10-31,06:00:00,0.5638497596980301,78.36121814137496,895.3355696968032,0.00044885734287976347,1.317833441104216,-2.6466988900424377,2.9566366014518,333.53055686938393,0.0,0.0,0.0
2022-10-31,07:00:00,1.1165625390545983,72.83824692542606,895.7566173661342,0.0003070755746329094,1.3332773420873867,-2.4530132006130154,2.791935212949132,331.4747538412662,30.13003892279,38.5250150044009,27.62591294750394
2022-10-31,08:00:00,3.8037570717763742,58.654486646779056,896.2469498940151,8.036013243661942e-07,1.4302436245851906,-2.588830136169722,2.9576406643821906,331.0807913724152,153.90217675136574,249.28910722405078,98.47722805730001
2022-10-31,09:00:00,6.331960872714603,43.616360533862874,896.5071209902535,1.782160715246729e-08,1.5137356771137598,-2.943301375982747,3.3097460159397407,332.7833061146524,286.0918674042243,331.23303045611874,160.17636511159364
2022-10-31,10:00:00,8.812752734571404,34.13943297018254,896.4832628071676,4.349290116067131e-08,1.7689983500206405,-2.9523084128818713,3.441726329496409,329.0703136367614,418.28907053506293,458.0180662744177,188.73890259848528
2022-10-31,11:00:00,10.833386698775314,29.84606192072207,896.2849814259375,4.746154867965963e-07,2.1601922344708773,-2.9334473954169544,3.64301305399072,323.6320489829752,533.2684295983914,616.2956215338519,177.54103771487254
2022-10-31,12:00:00,12.273131370337353,28.749948658467282,895.6971960647097,2.882803681464983e-07,2.5282841522232613,-2.8039527113126814,3.7754962007213084,317.9594701591509,611.6870838449084,798.2553063195304,130.31980519456732
2022-10-31,13:00:00,13.144387301995835,28.207202877432604,894.8065744085751,1.4781847349642992e-07,2.728895115175694,-2.570503515455549,3.7489140924538535,313.28801909701883,619.6250378120607,883.9713275638447,109.67363169273473
2022-10-31,14:00:00,13.40270353453792,28.034901168545318,894.0979883394277,1.6459718700758856e-07,2.730418419273288,-2.3215508483339002,3.5839619258171105,310.37300464168493,540.7883169629354,889.1211949391541,95.71953210243956
2022-10-31,15:00:00,13.039831635717917,28.720782208650753,893.8719668880342,1.060576258660793e-08,2.5427905760773744,-2.0843722384562153,3.2879159877093693,309.3421040009083,394.14957694976783,852.0070646019007,71.00101592000756
2022-10-31,16:00:00,11.851996074096803,34.1768799986685,893.9578610529102,6.901059304726748e-09,1.929084349119799,-1.6608950262470696,2.545572374581248,310.72765612278977,210.83869708535738,672.1516054677861,62.10793498671897
2022-10-31,17:00:00,8.347760508698798,53.93154779373287,894.1149950591315,4.776750283547003e-09,0.8861708723412058,-1.0763008025617846,1.394174391021839,320.5337102324608,39.23367650558728,146.50048628408877,29.711144897121514
2022-10-31,18:00:00,6.399943589479449,53.97646824207284,894.3916065591134,2.737432228745362e-09,0.4372536323849389,-0.937146235848685,1.0341343270577485,334.98718720568957,0.0,0.0,0.0
2022-10-31,19:00:00,5.582320673652134,54.91657876848275,894.7180159747616,1.311812747201292e-09,0.020030647966793373,-0.6954149536981359,0.6957033740646584,358.35011549938986,0.0,0.0,0.0
2022-10-31,20:00:00,4.86903439478715,55.79931807690488,894.9448989200209,5.733420083997584e-10,-0.29413448210409465,-0.4312329302907605,0.5219932314980721,34.29703689607808,0.0,0.0,0.0
2022-10-31,21:00:00,4.216758024128467,56.840870446612826,895.1280015105363,2.886910989096806e-10,-0.5353004316294813,-0.1587113153930449,0.5583330849381035,73.48542756578445,0.0,0.0,0.0
2022-10-31,22:00:00,3.6059680173393076,58.27615284896095,895.2047424359198,1.2830641360695865e-10,-0.7588782261901889,0.1549248731497563,0.7745307472954418,101.53837267958184,0.0,0.0,0.0
2022-10-31,23:00:00,3.035252972677881,59.89569793684415,895.1161749341626,4.512312124380298e-11,-0.9590211303455255,0.42295638609001224,1.048147715249875,113.798883123629,0.0,0.0,0.0
2022-11-01,00:00:00,2.5551530425346414,61.26112975220984,894.84929255525,1.3359707689658143e-11,-1.1454319615049418,0.6940851707959439,1.339316468485284,121.21415821711753,0.0,0.0,0.0
2022-11-01,01:00:00,2.086687435801025,63.02357009943245,894.5782789328991,2.6448945989082245e-12,-1.2876139438873628,0.9927110279952738,1.6258612651750461,127.63112580541068,0.0,0.0,0.0
2022-11-01,02:00:00,1.6942892537888952,65.0125028340907,894.2883558481913,7.71054489345922e-13,-1.3189163210996586,1.2125317375601272,1.7915840691002025,132.59355005105886,0.0,0.0,0.0
2022-11-01,03:00:00,1.4091173043334493,66.74383083872006,893.9874782458319,2.244245117967355e-16,-1.290361209020307,1.3231198661346326,1.8481553587035038,135.71813587063008,0.0,0.0,0.0
2022-11-01,04:00:00,1.1119690696214093,68.98044453424446,893.8794668396571,3.492450259955705e-15,-1.342430911290703,1.3744301442338551,1.921244121127631,135.67479940507985,0.0,0.0,0.0
2022-11-01,05:00:00,0.8310102972094455,71.59671631934495,893.9177017960174,7.161457206825893e-15,-1.5457452630202422,1.410239608481392,2.0923919736701504,132.3753348162041,0.0,0.0,0.0
2022-11-01,06:00:00,0.5562037481039965,74.42782678143824,893.9462805198939,9.070777922544487e-10,-1.8012570870249516,1.5237953518821656,2.359338756511092,130.22995767190758,0.0,0.0,0.0
2022-11-01,07:00:00,0.8735540356720435,76.0678626711124,893.9942229529773,4.402576284786057e-07,-1.9490593451592753,1.6597584623491113,2.560005953956394,130.41668512774322,29.15188679402658,36.046668749733996,26.80885332529387
